participant_id,participant_id_dataset,semester_id,date,year,academic_year,semester,days_since_semester_start,first_day_of_the_semester,dataset_of_origin,torr_set1_score,torr_set2_score,atmi_score,wj_score,torr_s1_q1_resp,torr_s1_q2_resp,torr_s1_q3_resp,torr_s1_q4_resp,torr_s1_q5_resp,torr_s1_q6_resp,torr_s1_q7_resp,torr_s1_q8_resp,torr_s2_q1_resp,torr_s2_q2_resp,torr_s2_q3_resp,torr_s2_q4_resp,torr_s2_q5_resp,torr_s2_q6_resp,torr_s2_q7_resp,torr_s2_q8_resp,q1_r_sc,q2_r_sc,q3_r_sc,q4_r_sc,q5_r_sc,q6_sc,q7_sc,q8_sc,q9_sc,q10_r_sc,q11_sc,q12_sc,q13_val,q14_val,q15_val,q16_val,q17_val,q18_val,q19_val,q20_enj,q21_r_enj,q22_enj,q23_enj,q24_enj,q25_enj,q26_enj,q27_enj,q28_enj,q29_mot,q30_r_mot,q31_mot,q32_mot,x63,x64
SEP_7_0035,26943,spring-2020,2020-03-21,2020,2019-2020,spring,60,2020-01-21,7,8,2,110,81,A,B,B,B,D,B,A,A,C,D,A,D,A,C,D,A,2,1,2,1,2,5,5,5,5,2,3,3,5,5,4,4,4,5,5,4,2,4,5,4,4,2,2,2,4,1,4,4,NA,NA
SEP_7_0036,27711,spring-2020,2020-03-22,2020,2019-2020,spring,61,2020-01-21,7,3,4,100,117,C,A,C,C,D,B,A,D,B,A,B,D,A,D,B,B,3,2,3,3,2,2,4,3,4,3,3,3,4,3,3,4,4,4,3,3,3,4,5,3,3,3,3,4,4,3,1,1,NA,NA
SEP_7_0037,29476,spring-2020,2020-03-25,2020,2019-2020,spring,64,2020-01-21,7,3,2,98,116,D,C,B,C,D,B,B,C,C,C,B,B,A,C,D,C,4,2,4,4,5,2,3,3,4,3,3,4,4,3,3,3,3,5,3,2,4,2,4,2,1,2,2,4,3,5,1,1,NA,NA
SEP_7_0038,29940,spring-2020,2020-04-26,2020,2019-2020,spring,96,2020-01-21,7,4,5,96,84,A,B,B,C,B,A,A,D,B,C,C,B,C,C,A,D,4,4,4,4,4,3,2,2,3,4,2,3,4,4,3,4,4,5,4,2,3,2,1,3,1,2,2,3,4,3,1,2,NA,NA
SEP_7_0039,30815,spring-2020,2020-04-25,2020,2019-2020,spring,95,2020-01-21,7,2,1,73,83,D,C,A,C,A,A,A,A,A,B,D,A,C,C,A,B,5,3,4,4,5,1,1,2,4,3,2,2,2,2,2,2,2,2,4,1,4,1,1,1,1,1,1,1,2,5,1,1,NA,NA
SEP_7_0040,31208,spring-2020,2020-04-05,2020,2019-2020,spring,75,2020-01-21,7,5,4,89,112,D,B,B,B,D,A,A,D,B,A,D,D,C,D,A,C,2,2,2,2,2,3,3,3,4,2,3,3,3,4,4,3,3,4,3,3,3,3,4,2,2,2,3,2,4,3,2,1,NA,NA
SEP_7_0041,31284,spring-2020,2020-04-06,2020,2019-2020,spring,76,2020-01-21,7,1,4,79,76,C,C,D,C,B,A,A,B,D,C,C,B,B,D,C,D,5,5,5,5,5,1,1,1,1,5,1,1,3,3,3,3,3,3,3,1,5,3,1,1,1,3,2,1,1,1,1,1,NA,NA
SEP_7_0042,32350,spring-2020,2020-03-21,2020,2019-2020,spring,60,2020-01-21,7,4,3,114,62,A,B,B,B,C,A,D,D,B,C,B,D,C,A,B,C,2,2,2,1,2,2,4,4,4,4,4,4,5,4,4,5,4,4,3,4,4,5,5,4,4,5,4,4,2,2,3,4,NA,NA
SEP_7_0043,33836,spring-2020,2020-04-18,2020,2019-2020,spring,88,2020-01-21,7,6,3,97,91,A,C,B,B,A,B,A,A,B,C,A,C,A,C,B,B,3,3,3,3,3,2,3,2,3,2,2,3,4,4,4,4,4,4,4,4,2,4,4,3,3,3,2,2,2,3,3,2,NA,NA
SEP_7_0044,35465,spring-2020,2020-03-23,2020,2019-2020,spring,62,2020-01-21,7,2,2,123,64,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,1,1,1,1,1,5,5,4,4,1,4,4,5,5,5,5,5,5,4,5,1,5,5,5,5,5,5,5,5,1,5,5,NA,NA
